vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,airport_fee,total_amount,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
1,1/2/2015 7:40:56,1/2/2015 7:43:05,1,0,5,N,2,0,0,0,0,0,0,,0.3,170,170,2015,1
1,1/15/2015 11:39:32,1/15/2015 11:40:26,2,0.1,5,N,2,0,0,0,0,0,0.3,,0.3,144,144,2015,1
1,1/6/2015 14:37:46,1/6/2015 14:38:51,1,0.1,5,N,2,0,0,0,0,0,0.3,,0.3,163,162,2015,1
1,1/13/2015 11:15:07,1/13/2015 11:15:36,1,0.2,5,N,2,0,0,0,0,0,0.3,,0.3,236,236,2015,1
1,1/30/2015 21:51:57,1/30/2015 21:52:57,1,0.1,5,N,2,0,0,0,0,0,0.3,,0.3,265,265,2015,1
1,1/17/2015 14:08:19,1/17/2015 14:09:02,1,0.1,5,N,3,0,0,0,0,0,0.3,,0.3,230,230,2015,1
1,1/30/2015 0:17:28,1/30/2015 0:53:35,1,60,5,N,3,0,0,0,0,0,0.3,,0.3,56,226,2015,1
1,1/7/2015 14:31:59,1/7/2015 14:32:07,0,11.7,5,N,2,0,0,0,0,0,0.3,,0.3,82,82,2015,1
1,1/4/2015 3:12:25,1/4/2015 3:58:20,1,25.6,5,N,2,0,0,0,0,0,0,,0.3,100,216,2015,1
1,1/22/2015 13:08:43,1/22/2015 13:09:24,1,0.1,5,N,3,0,0,0,0,0,0.3,,0.3,237,237,2015,1
1,1/4/2015 11:11:48,1/4/2015 12:45:27,1,58.5,5,N,2,0,0,0,0,0,0,,0.3,108,265,2015,1
1,1/1/2015 3:56:31,1/1/2015 3:57:17,2,0,5,N,3,0,0,0,0,0,0,,0.3,265,265,2015,1
1,1/24/2015 0:34:07,1/24/2015 0:35:03,1,0.1,5,N,3,0,0,0,0,0,0.3,,0.3,262,262,2015,1
1,1/19/2015 8:43:17,1/19/2015 8:43:17,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,246,264,2015,1
1,1/30/2015 13:22:28,1/30/2015 13:22:47,1,2.3,5,N,3,0,0,0,0,0,0.3,,0.3,262,262,2015,1
1,1/24/2015 2:05:05,1/24/2015 2:12:50,2,0.8,5,N,3,0,0,0,0,0,0.3,,0.3,158,246,2015,1
1,1/6/2015 1:47:48,1/6/2015 1:48:34,2,0.1,5,N,2,0,0,0,0,0,0.3,,0.3,48,48,2015,1
1,1/6/2015 5:35:33,1/6/2015 5:35:33,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,26,264,2015,1
1,1/19/2015 1:33:54,1/19/2015 1:53:29,1,9.2,5,N,3,0,0,0,0,0,0.3,,0.3,7,265,2015,1
1,1/12/2015 1:25:49,1/12/2015 1:33:11,1,1.4,5,N,3,0,0,0,0,0,0.3,,0.3,162,48,2015,1
1,1/7/2015 0:16:00,1/7/2015 0:16:27,1,0.3,5,N,2,0,0,0,0,0,0.3,,0.3,264,264,2015,1
1,1/7/2015 1:33:12,1/7/2015 1:33:42,2,6.8,5,N,2,0,0,0,0,0,0.3,,0.3,264,264,2015,1
1,1/31/2015 21:22:18,1/31/2015 21:22:37,1,0,5,N,3,0,0,0,0,0,0.3,,0.3,264,264,2015,1
1,1/6/2015 1:24:07,1/6/2015 1:47:10,1,0.4,5,N,3,0,0,0,0,0,0.3,,0.3,265,255,2015,1
1,1/31/2015 16:03:42,1/31/2015 16:03:49,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,145,145,2015,1
1,1/19/2015 3:15:38,1/19/2015 3:17:44,1,1.4,5,N,3,0,0,0,0,0,0.3,,0.3,116,244,2015,1
1,1/11/2015 11:17:47,1/11/2015 11:18:16,1,0,5,N,3,0,0,0,0,0,0.3,,0.3,164,164,2015,1
1,1/30/2015 1:37:46,1/30/2015 1:37:46,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,79,264,2015,1
1,1/4/2015 20:30:16,1/4/2015 20:31:08,2,0,5,N,3,0,0,0,0,0,0,,0.3,100,100,2015,1
1,1/19/2015 8:40:20,1/19/2015 8:41:06,1,3.5,5,N,4,0,0,0,0,0,0.3,,0.3,142,142,2015,1
1,1/23/2015 11:51:48,1/23/2015 11:53:23,1,0,5,N,2,0,0,0,0,0,0.3,,0.3,230,230,2015,1
1,1/31/2015 0:38:19,1/31/2015 0:39:59,2,0.2,5,N,3,0,0,0,0,0,0.3,,0.3,265,265,2015,1
1,1/29/2015 15:36:09,1/29/2015 16:39:10,1,18.9,5,N,1,0,0,0,103,17.08,0.3,,120.38,10,265,2015,1
1,1/19/2015 22:26:04,1/19/2015 22:37:01,1,3.6,5,N,1,0,0,0,50.37,9.75,0.3,,60.42,158,265,2015,1
1,1/29/2015 22:36:50,1/29/2015 23:10:05,1,14.7,5,N,2,0,0,0,0,2.44,0.3,,2.74,265,152,2015,1
1,1/28/2015 19:38:32,1/28/2015 20:26:41,1,23,5,N,3,0,0,0,0,15.08,0.3,,15.38,138,265,2015,1
1,1/12/2015 23:48:38,1/13/2015 0:18:46,1,14.2,5,N,3,0,0,0,0,15.08,0.3,,15.38,138,265,2015,1
1,1/22/2015 21:54:37,1/22/2015 22:06:33,1,1.5,3,N,1,0,0,0,11.1,0,0.3,,11.4,162,141,2015,1
1,1/31/2015 2:51:56,1/31/2015 2:58:16,1,2.1,5,N,1,0,0,0,30,0,0.3,,30.3,265,265,2015,1
1,1/9/2015 23:57:28,1/10/2015 0:39:25,1,31.6,5,N,1,0,0,0,25,0,0.3,,25.3,170,265,2015,1
1,1/16/2015 5:30:50,1/16/2015 5:34:05,1,1.9,5,N,3,0,0,0,0,15,0.3,,15.3,246,265,2015,1
1,1/15/2015 5:18:50,1/15/2015 5:19:31,1,0,5,N,4,0,0,0,0,10,0.3,,10.3,1,1,2015,1
1,1/25/2015 20:47:17,1/25/2015 21:20:11,1,18.4,5,N,1,0,0,0.5,0,15.08,0.3,,15.88,132,265,2015,1
1,1/15/2015 18:45:45,1/15/2015 19:23:53,1,7.9,5,N,2,0,0,0,0,17.08,0.3,,17.38,145,265,2015,1
1,1/17/2015 16:12:42,1/17/2015 17:11:58,3,21,5,N,3,0,0,0,0,17.08,0.3,,17.38,132,265,2015,1
1,1/23/2015 10:38:34,1/23/2015 11:10:28,2,16.4,5,N,4,0,0,0,0,10.96,0.3,,11.26,100,132,2015,1
1,1/24/2015 3:27:27,1/24/2015 3:47:47,2,5.8,5,N,1,0,0,0,60,0,0.3,,60.3,230,265,2015,1
1,1/23/2015 23:13:29,1/23/2015 23:33:02,2,4.7,5,N,1,0,0,0,55,9.75,0.3,,65.05,230,265,2015,1
1,1/4/2015 11:23:57,1/4/2015 11:52:45,2,14.7,5,N,1,0,0,0,0.1,11.75,0,,12.15,230,265,2015,1
1,1/28/2015 21:01:51,1/28/2015 21:17:41,5,8.9,5,N,1,0,0,0,45,9.75,0.3,,55.05,238,265,2015,1
1,1/13/2015 20:51:47,1/13/2015 21:03:46,1,3.6,5,N,1,0,0,0,45,9.75,0.3,,55.05,48,265,2015,1
1,1/17/2015 22:47:53,1/17/2015 22:47:53,2,0,5,Y,2,0,0,0,0,5.33,0,,5.33,164,264,2015,1
1,1/13/2015 16:21:52,1/13/2015 16:24:17,1,0.3,5,N,2,0,0,0,0,11.75,0.3,,12.05,265,265,2015,1
1,1/25/2015 13:40:33,1/25/2015 13:45:05,1,2.1,5,N,2,0,0,0,0,11.75,0.3,,12.05,265,231,2015,1
1,1/2/2015 16:11:20,1/2/2015 17:06:05,1,17.4,5,N,2,0,0,0,0,11.75,0,,12.05,87,265,2015,1
1,1/2/2015 8:22:14,1/2/2015 8:36:24,1,4,5,N,2,0,0,0,0,11.75,0,,12.05,125,265,2015,1
1,1/20/2015 19:43:22,1/20/2015 19:57:45,1,4.3,5,N,2,0,0,0,0,11.75,0.3,,12.05,170,265,2015,1
1,1/18/2015 16:11:43,1/18/2015 16:35:30,4,4.9,5,N,2,0,0,0,0,11.75,0.3,,12.05,231,265,2015,1
1,1/21/2015 0:40:20,1/21/2015 0:56:31,2,5.4,5,N,1,0,0,0,25,9.75,0.3,,35.05,158,265,2015,1
1,1/28/2015 23:08:09,1/28/2015 23:15:56,1,2.9,5,N,3,0,0,0,0,9.75,0.3,,10.05,13,265,2015,1
1,1/1/2015 4:11:12,1/1/2015 4:24:47,1,3.8,5,N,2,0,0,0,0,9.75,0,,10.05,264,264,2015,1
1,1/22/2015 23:15:32,1/22/2015 23:40:27,1,18.5,5,N,4,0,0,0,0,9.75,0.3,,10.05,264,264,2015,1
1,1/10/2015 3:19:10,1/10/2015 3:58:44,1,4.2,5,N,2,0,0,0,0,9.75,0.3,,10.05,125,265,2015,1
1,1/29/2015 1:28:08,1/29/2015 1:40:04,2,4.5,5,N,3,0,0,0,0,9.75,0.3,,10.05,163,265,2015,1
1,1/17/2015 2:51:18,1/17/2015 3:33:54,2,7.4,5,N,2,0,0,0,0,9.75,0.3,,10.05,164,265,2015,1
1,1/1/2015 4:09:06,1/1/2015 4:34:35,2,13.9,5,N,2,0,0,0,0,9.75,0,,10.05,144,265,2015,1
1,1/8/2015 23:52:10,1/9/2015 0:47:44,2,19.3,5,N,2,0,0,0,0,9.75,0.3,,10.05,234,265,2015,1
1,1/11/2015 10:49:13,1/11/2015 11:40:17,2,19.6,5,Y,2,0,0,0,0,9.75,0.3,,10.05,48,265,2015,1
1,1/5/2015 21:06:08,1/5/2015 21:07:33,1,0.3,5,N,3,0,0,0,0,9.75,0.3,,10.05,265,265,2015,1
1,1/6/2015 0:05:50,1/6/2015 0:32:01,1,6.3,5,Y,2,0,0,0,0,9.75,0.3,,10.05,43,265,2015,1
1,1/24/2015 23:21:47,1/24/2015 23:34:00,5,3.8,5,N,2,0,0,0,0,9.75,0.3,,10.05,231,265,2015,1
1,1/31/2015 0:36:23,1/31/2015 0:38:43,1,0.5,5,N,4,0,0,0,0,9.75,0.3,,10.05,161,48,2015,1
1,1/12/2015 13:39:59,1/12/2015 13:57:58,2,5.6,5,N,3,0,0,0,0,9.75,0.3,,10.05,211,265,2015,1
1,1/1/2015 5:18:17,1/1/2015 5:34:25,1,4.9,5,N,1,0,0,0,0,9.75,0,,10.05,48,265,2015,1
1,1/5/2015 23:33:53,1/6/2015 0:01:55,1,15.9,5,N,3,0,0,0,0,9.75,0.3,,10.05,161,265,2015,1
1,1/6/2015 23:03:07,1/6/2015 23:50:08,1,21.3,5,N,3,0,0,0,0,9.75,0.3,,10.05,132,265,2015,1
1,1/17/2015 2:24:49,1/17/2015 2:46:53,1,7.7,5,N,4,0,0,0,0,9.75,0.3,,10.05,141,265,2015,1
1,1/1/2015 17:07:55,1/1/2015 17:07:55,1,0,5,N,2,0,0,0,0,5.33,0,,5.63,239,264,2015,1
1,1/8/2015 13:37:50,1/8/2015 16:15:47,1,37.7,5,N,3,0,0,0,0,5.33,0.3,,5.63,230,230,2015,1
1,1/21/2015 20:58:41,1/21/2015 21:26:42,1,18.3,5,N,2,0,0,0,0,5.33,0.3,,5.63,229,265,2015,1
1,1/7/2015 21:21:30,1/7/2015 22:16:20,1,20.9,5,N,2,0,0,0,0,5.33,0.3,,5.63,146,137,2015,1
1,1/9/2015 15:11:20,1/9/2015 15:58:16,1,26.4,5,N,2,0,0,0,0,5.33,0.3,,5.63,132,265,2015,1
1,1/22/2015 12:51:31,1/22/2015 19:18:51,1,63.1,5,N,3,0,0,0,0,5.33,0.3,,5.63,38,132,2015,1
1,1/14/2015 17:37:22,1/14/2015 17:37:22,1,0,5,N,2,0,0,0,0,5.33,0.3,,5.63,264,264,2015,1
1,1/31/2015 17:03:53,1/31/2015 17:42:57,1,25.7,5,N,3,0,0,0,0,5.33,0.3,,5.63,132,265,2015,1
1,1/19/2015 22:37:24,1/19/2015 23:21:23,1,28.9,5,N,2,0,0,0,0,13.75,0.3,,14.05,186,265,2015,1
2,1/28/2015 15:54:58,1/28/2015 15:55:00,0,0,5,N,1,0.8,0,0.5,5,0,0.3,,6.6,264,43,2015,1
1,1/12/2015 0:13:01,1/12/2015 0:15:22,1,0,5,N,2,0.12,0,0,0,0,0.3,,0.42,226,226,2015,1
2,1/25/2015 17:58:44,1/25/2015 17:58:58,1,0,5,N,2,0.02,0,0.5,0,0,0.3,,0.82,264,264,2015,1
2,1/23/2015 0:05:04,1/23/2015 0:06:04,2,0,5,N,2,0.04,0,0,0,0,0.3,,0.34,197,197,2015,1
2,1/17/2015 0:25:52,1/17/2015 0:26:47,2,0,5,N,2,0.04,0,0,0,0,0.3,,0.34,216,216,2015,1
1,1/14/2015 16:52:57,1/14/2015 17:26:35,2,1.3,2,N,3,0.5,0,0,0,5.33,0.3,,6.13,237,138,2015,1
2,1/30/2015 4:13:46,1/30/2015 4:14:17,1,0,5,N,2,1.3,0,0,0,0,0.3,,1.6,68,68,2015,1
2,1/14/2015 13:33:20,1/14/2015 13:35:19,1,0,1,N,2,2.1,0,0.5,0,0,0.3,,2.9,264,264,2015,1
2,1/12/2015 18:55:17,1/12/2015 18:56:27,1,0,1,N,2,2.1,0,0.5,0,0,0.3,,2.9,264,264,2015,1
2,1/12/2015 19:02:27,1/12/2015 19:04:07,1,0,1,N,2,2.1,0,0.5,0,0,0.3,,2.9,264,264,2015,1
2,1/12/2015 18:55:17,1/12/2015 18:56:27,1,0,1,N,2,2.1,0,0.5,0,0,0.3,,2.9,264,264,2015,1
1,1/9/2015 2:25:23,1/9/2015 2:26:41,1,0,4,N,2,2,0.5,0.5,0,0,0.3,,3.3,265,265,2015,1
1,1/20/2015 17:22:55,1/20/2015 17:23:43,1,0,5,N,4,2,0,0,0,0,0.3,,2.3,232,232,2015,1
